date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2017-03-12,3752.00001,240000.9942414,343,3799.64542301,3783.00007,3824.98999,3848.69999,63.1640502
2017-03-13,3700.0,788883.14537071,1287,3819.37441642,3824.98998,3810.0,3898.99997,206.54773776
2017-03-14,3791.00147,634816.31252416,1092,3847.98221569,3810.0368,3835.0,3880.0,164.97381665
2017-03-15,3815.0,889875.80691807,1259,3880.66640661,3870.98998,3860.0,3975.39,229.31004979
2017-03-16,3841.0,971244.07811656,1204,3901.86482704,3865.01027,3890.88227,3975.39,248.91792032
2017-03-17,3710.9,1155223.72592419,1552,3843.50389185,3890.79789,3758.23508,3924.0,300.56525463
2017-03-18,3260.0,2887420.49315535,1452,3597.72426378,3712.74882,3520.0,3905.0,802.56859099
2017-03-19,3418.01001,380053.66486668,480,3564.56925966,3545.0,3634.73566,3679.99997,106.61980093
2017-03-20,3400.0,960690.86526109,1262,3526.24332709,3520.00001,3514.29604,3647.47811,272.44032137
2017-03-21,3457.0,1147781.231376,1560,3609.05012953,3475.0,3640.0,3702.0,318.02861977
2017-03-22,3500.0,822228.11541489,1147,3565.92830606,3636.0016,3584.91687,3672.99,230.57898108
2017-03-23,3514.69,490122.44327225,1012,3571.16814442,3549.61684,3597.99999,3624.99999,137.24429191
2017-03-24,3364.0,989673.18132852,1444,3492.75271708,3555.07206,3489.4699,3595.0,283.35048642
2017-03-25,3301.2188,474103.69299026,658,3419.22437603,3488.0,3442.04914,3499.77116,138.65825721
2017-03-26,3420.75393,199610.05641154,346,3466.64922469,3475.89802,3445.0,3498.0,57.58011367
2017-03-27,3442.61549,580393.83541572,953,3536.32210261,3445.80132,3541.0,3597.0,164.12357771
2017-03-28,3501.12345,765161.00274981,1386,3571.56749517,3558.88146,3578.5,3597.99888,214.23674725
2017-03-29,3527.39443,544458.79155814,1108,3565.03897602,3578.5,3588.58211,3596.9999,152.72169399
2017-03-30,3485.0,801749.69793527,980,3545.0578375,3588.58211,3558.0,3594.9988,226.15983566
2017-03-31,3524.0,575129.5756918,1063,3554.56592087,3526.07682,3579.99999,3588.0,161.80022779
2017-04-01,3522.005,312755.55167988,621,3565.39905449,3579.0,3571.99993,3589.0,87.71964846
2017-04-02,3530.0,320831.81997201,450,3572.33746554,3552.0,3590.0,3610.0,89.8100538
2017-04-03,3499.99,1154200.57611018,1571,3578.24868216,3591.99999,3591.71168,3647.0,322.56019037
2017-04-04,3578.50003,787590.16585973,1394,3634.97796948,3634.94676,3681.99,3698.08272,216.66985948
2017-04-05,3599.99,794345.98628701,1383,3647.53368712,3654.0,3599.99,3700.27978,217.77618918
2017-04-06,3590.0,797433.41231846,1143,3671.06869475,3599.99,3695.0,3717.0,217.22105431
2017-04-07,3655.0,640196.52469076,1111,3702.41286338,3716.99999,3700.01,3725.0,172.91332661
2017-04-08,3636.0,451701.28409319,595,3681.20074875,3710.0,3636.0,3720.0,122.70487673
2017-04-09,3620.0,249710.37026163,438,3675.69948944,3640.00077,3670.00002,3700.0,67.93546942
2017-04-10,3665.0,814728.42829226,1320,3700.74680756,3670.02004,3693.95547,3744.0,220.15243697
2017-04-11,3682.20363,913679.49696834,1220,3732.15449235,3729.89965,3791.56,3798.99999,244.8128819
2017-04-12,3706.0,920155.31060008,1471,3781.83852386,3791.56,3839.9099,3850.0,243.30898974
2017-04-13,3720.0,945384.18770377,1297,3803.39822635,3800.48239,3840.0,3849.0,248.56303007
2017-04-14,3770.00002,265817.20948957,511,3803.42971669,3816.0,3770.00002,3848.01,69.88881859
2017-04-15,3750.0,365359.10772747,497,3795.12577771,3770.00003,3769.0,3848.0,96.27061898
2017-04-16,3753.0,130751.4890298,310,3775.08802407,3797.99683,3753.56453,3799.99989,34.63534842
2017-04-17,3700.0,790510.67510399,1313,3775.05437185,3755.01379,3800.0,3802.0,209.40378528
2017-04-18,3770.00003,927636.54611483,1496,3838.14681017,3778.9999,3894.36957,3899.0,241.68865653
2017-04-19,3800.0,943304.34487549,1250,3850.56081495,3894.23908,3850.0,3897.5899,244.97843047
2017-04-20,3796.0,1282094.96968964,1646,3899.82186573,3850.01,3935.56387,3991.78779,328.75731606
2017-04-21,3890.0,482729.7478064,660,3921.44409042,3950.0,3908.0,3972.0,123.09999497
2017-04-22,3850.0,638713.00506344,747,3864.83585697,3908.0,3889.8,3910.0,165.26264729
2017-04-23,3850.0,312286.34488854,367,3897.54834662,3857.0,3889.8,3937.0,80.12378991
2017-04-24,3880.0,1310071.36268063,1755,4016.2907768,3921.95694,4068.52828,4098.99999,326.18937111
2017-04-25,4011.50002,1602176.66339015,1990,4173.01638191,4070.75938,4230.00001,4373.9999,383.937305
2017-04-26,4170.0,1508934.27793607,1773,4307.38329718,4250.0,4422.0,4477.8384,350.31344411
2017-04-27,4380.2,1626542.90484374,1888,4514.55930165,4415.92418,4580.0,4627.17,360.28830195
2017-04-28,4283.26539,2092363.98694663,1776,4434.65585687,4595.0,4457.42494,4595.0,471.82105094
2017-04-29,4415.00003,453752.5385799,802,4505.05826969,4459.0,4498.0,4588.0,100.72068138
