date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2017-02-01,12.26001,4471.6594275,44,12.61894819,13.0,12.39,13.0,354.36070894
2017-02-02,12.25,7850.89136718,37,12.26551224,12.39,12.25,12.39,640.07855646
2017-02-03,11.3,4441.79474781,40,12.20564243,12.385,11.55,12.39,363.913229
2017-02-04,11.85011,1159.05498583,8,11.99940672,12.0,11.85011,12.23,96.59269101
2017-02-05,11.85,7782.64789352,52,12.38011399,12.1,12.0,12.75,628.64105308
2017-02-06,11.4799,18296.76172956,75,11.99425561,12.0,11.56,12.4,1525.46038046
2017-02-07,11.45,9990.07070437,112,12.10971905,12.07,12.0,12.63999,824.96304513
2017-02-08,11.58,4663.12841594,74,11.91073477,12.1,12.0,12.49,391.50636005
2017-02-09,11.23,8049.29526575,68,11.58038827,11.98,11.23,11.995,695.07991231
2017-02-10,11.23,4725.58111171,70,11.82806939,11.23,11.99,12.1,399.5226064
2017-02-11,11.63,1655.68276835,35,11.8931256,11.99,11.99,12.0,139.21342669
2017-02-12,11.67,158.1730474,21,11.98522935,11.67,11.93,12.0,13.19733171
2017-02-13,11.7,1501.319279,46,11.8336528,11.93,11.888,11.93,126.86862661
2017-02-14,11.735,2263.10098299,35,11.90328248,11.888,11.85,11.97999,190.12410962
2017-02-15,11.9,4224.17484034,44,11.99519917,11.9,11.91,12.28,352.15545647
2017-02-16,11.92,1029.77972161,33,12.13144563,12.27,12.1,12.27,84.88516151
2017-02-17,11.92,2129.52246954,40,12.04063377,12.0,11.95,12.19,176.8613272
2017-02-18,11.76,742.11930307,28,11.93755082,11.95,11.76,12.05,62.16679738
2017-02-19,11.76,867.97838915,47,11.95331813,12.0,12.0,12.15,72.61401227
2017-02-20,11.65,8216.71201837,98,11.71670701,11.77,11.89,11.9512,701.28168349
2017-02-21,11.55,10424.23541978,59,11.65021413,11.76,11.85,11.86998,894.76770987
2017-02-22,11.66,8610.57747434,101,11.91944823,11.82,12.18987,12.2,722.3973216
2017-02-23,11.8,2932.04721757,93,11.98188169,12.18987,12.12,12.18987,244.70674076
2017-02-24,11.86,9278.61323422,65,12.12702913,12.05,12.145,12.14999,765.11840926
2017-02-25,12.145,3317.55431538,41,12.25276534,12.14999,12.5,12.5,270.75963866
2017-02-26,12.19,2051.62807494,61,12.39704541,12.4,12.25,12.75,165.49330964
2017-02-27,12.22,7083.26939999,64,12.56236043,12.25,13.18,13.18,563.84860449
2017-02-28,12.46,2385.78809539,53,12.70353911,13.0,12.61,13.1,187.80499466
2017-03-01,12.2,14802.99719528,88,12.54528132,12.87,12.4,12.87,1179.9653441
2017-03-02,12.19,12392.50721246,79,12.37392957,12.4,12.55001,12.7,1001.50135337
2017-03-03,12.55001,16801.81701243,132,12.72027453,12.7,12.75,13.0799,1320.86905619
2017-03-04,12.55001,5769.91421608,74,12.73011216,12.76,12.55001,13.05,453.24928351
2017-03-05,12.446,14403.91663272,69,12.58444671,12.55001,12.45,13.0,1144.58084398
2017-03-06,12.35,3132.41270533,30,12.48471482,12.4,12.4,12.8,250.89982032
2017-03-07,12.00001,8273.91773654,86,12.20121677,12.78987,12.02,12.78987,678.12234557
2017-03-08,11.8,6249.41127261,67,12.10152116,12.35,12.1,12.4,516.41534889
2017-03-09,11.8,3013.01421966,50,12.24387671,12.1,12.19,12.51,246.08335188
2017-03-10,11.0,18300.60501046,106,11.63791994,12.3999,11.56,12.49,1572.4979294
2017-03-11,11.83744,3040.52507615,39,11.9012842,11.83744,12.09011,12.3398,255.47873877
2017-03-12,11.86,1579.11859507,38,12.10646222,12.09,12.19,12.27988,130.43600738
2017-03-13,11.85,30831.16239243,161,12.64987206,11.885,12.6801,13.08,2437.27068926
2017-03-14,12.555,11599.73586074,82,12.90146783,12.6801,13.0799,13.09,899.10202604
2017-03-15,12.66,9418.1299305,66,12.92156185,13.07,13.14,13.14,728.86931486
2017-03-16,12.672,32463.43930863,180,13.7309657,13.13999,14.48,14.5,2364.25026595
